Date,Average_close_price,Average_open_price,Highest_close_price,Highest_high,Highest_low,Lowest_high,Lowest_low,Lowest_open_price
April,124.458571456,124.501221146,178.240005,178.940002,176.880005,74.441429,73.047142,74.007141
August,118.541480739,118.317259207,209.070007,209.779999,207.199997,65.779999,64.807144,65.265717
December,117.442385425,117.553625368,176.419998,177.199997,174.860001,78.571426,76.971428,77.918571
February,119.303526375,119.021219979,178.970001,180.619995,178.160004,72.53286,71.328575,71.80143
January,116.245813069,116.329929089,179.259995,180.100006,178.25,71.647141,70.507141,70.739998
July,131.379142752,131.343047648,194.820007,195.960007,193.610001,94.059998,92.57,93.519997
June,130.373835611,130.511812389,193.979996,194.199997,192.360001,90.690002,88.928574,89.779999
March,124.435897761,124.507614936,181.720001,183.5,180.210007,75.709999,74.687141,74.774284
May,130.284029557,130.042224104,190.039993,190.369995,187.860001,83.75,82.904289,83.505714
November,118.300438297,118.203747921,176.240005,176.240005,174.649994,74.345711,73.197144,73.511429
October,111.65123564,111.450437072,169.039993,169.649994,166.940002,69.228569,68.325714,68.349998
September,110.02325932,110.212718777,164.050003,164.940002,163.630005,65.672859,63.888573,63.994286
